since_timestamp_local_tz,UniqueHosts,LocationID
2020-02-25,1,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-02-26,2,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-02-27,1,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-02-28,256,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-02-29,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-01,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-02,487,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-03,517,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-04,489,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-05,467,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-06,232,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-07,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-08,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-09,402,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-10,406,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-11,381,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-12,360,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-13,133,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-14,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-15,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-16,90,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-17,13,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-18,9,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-19,10,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-20,7,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-21,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-22,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-23,12,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-24,9,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-25,5,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-26,11,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-27,3,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-28,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-29,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-30,2,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-03-31,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-01,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-02,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-03,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-04,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-05,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-06,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-07,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-08,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-09,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-10,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-11,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-12,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-13,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-14,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-15,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-16,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-17,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-18,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-19,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-20,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-21,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-22,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-23,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-24,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-25,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-26,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-27,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-28,10,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-29,6,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-04-30,8,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-01,1,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-02,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-03,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-04,8,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-05,5,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-06,9,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-07,17,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-08,14,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-09,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-10,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-11,32,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-12,19,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-13,26,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-14,35,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-15,26,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-16,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-17,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-18,37,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-19,35,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-20,40,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-21,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-22,2,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-23,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-24,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-25,52,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-26,76,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-27,73,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-28,52,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-29,43,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-30,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-05-31,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-01,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-02,81,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-03,94,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-04,83,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-05,54,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-06,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-07,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-08,79,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-09,117,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-10,87,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-11,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-12,2,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-13,1,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-14,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-15,93,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-16,120,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-17,121,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-18,123,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-19,74,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-20,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-21,0,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-22,96,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
2020-06-23,137,Universe:EMEA:DE-Germany:DEWE1-Weiterstadt-WA3
