Competitor;100m_dev;Long_Jump_dev;Shot_Put_dev;High_Jump_dev;400m_dev;Discus_Throw_dev;Pole_Vault_dev;Javelin_Throw_dev;1500m_dev
Curtis Beach;1.282127012;1.73396743;-0.753353207;0.838007529;1.230672435;-1.102717438;0.024357323;-3.172705541;2.155370935
Curtis Beach;1.707941102;1.810531146;-0.927989245;0.137350919;1.405256357;-1.232053835;0.943979019;-3.084382536;2.026853062
Kip Janvrin;-0.395322433;-1.0113887;0.189681398;-0.453828096;0.831623469;0.104422273;1.052169807;-0.110841362;1.846928039
Alain Blondel;0.120815857;0.585511678;-0.636929181;-0.158238589;1.056088512;0.352317035;0.632930504;-0.169723366;1.786953032
Leonid Litvinenko;-0.111446373;-0.409816639;0.469099059;-0.749417603;0.619628706;0.64332393;-0.374596207;1.135494377;1.786953032
Dezs? Szab¢;0.120815857;0.858953524;-0.21780269;0.137350919;1.57984028;-0.326699052;1.471409109;0.674252017;1.726978024
Thomas Fitzsimons Jr;0.236946973;-1.514521695;-1.300546126;-0.935529516;0.657039547;-0.833266609;0.024357323;-0.238419037;1.726978024
Jir° Ryba;-0.253384403;-0.880136614;0.271178216;0.640947857;0.844093749;0.664879996;1.261789458;0.615370013;1.667003017
Larbi Bourrada;1.230513183;0.47613494;-1.172479698;0.838007529;0.731861228;-0.97338104;0.22721505;0.752761355;1.667003017
Kip Janvrin;0.198236601;-0.650445463;-0.008239445;-0.650887768;0.844093749;0.007419975;0.842550155;0.281705327;1.667003017
Gaâl QuÇrin;-0.304998233;0.640200047;-0.706783597;-0.453828096;0.844093749;-0.024914124;0.430072777;-0.47394705;1.667003017
Gaâl QuÇrin;-0.046929087;0.727701438;-1.125910088;0.137350919;0.756801788;-0.671596112;0.22721505;-1.160903757;1.667003017
Joe Detmer;-0.395322433;-0.289502227;-1.253976515;-0.453828096;1.517488879;-1.824845658;0.024357323;-0.787984402;1.667003017
Beat GÑhwiler;-0.524357006;0.673013069;-0.380796326;0.137350919;0.357752822;0.449319334;0.22721505;0.821457025;1.607028009
Gaâl QuÇrin;-0.021122173;0.749576786;-0.415723533;-0.059708753;0.89397487;-0.563815781;0.632930504;0.114872984;1.607028009
Joe Detmer;0.546629947;0.585511678;-1.323830931;0.33441059;1.542429439;-0.660818079;0.653216277;-0.071586693;1.607028009
Kip Janvrin;0.004684742;-0.880136614;0.352675034;-1.220171263;0.86903431;-0.326699052;0.632930504;0.085431982;1.607028009
Joe Detmer;0.262753887;0.213630768;-1.382042943;0.137350919;1.130910193;-0.951824974;0.53150164;-0.523015386;1.607028009
Philipp Andres;0.198236601;-0.234813858;-1.393685346;-0.158238589;1.455137478;-0.865600709;0.024357323;0.458351337;1.607028009
