Date,Count,location,Weekday,GEO
2020-02-25,1,"Weiterstadt, Germany",Tuesday,DEU
2020-02-26,2,"Weiterstadt, Germany",Wednesday,DEU
2020-02-27,1,"Weiterstadt, Germany",Thursday,DEU
2020-02-28,256,"Weiterstadt, Germany",Friday,DEU
2020-03-02,487,"Weiterstadt, Germany",Monday,DEU
2020-03-03,517,"Weiterstadt, Germany",Tuesday,DEU
2020-03-04,489,"Weiterstadt, Germany",Wednesday,DEU
2020-03-05,467,"Weiterstadt, Germany",Thursday,DEU
2020-03-06,232,"Weiterstadt, Germany",Friday,DEU
2020-03-09,402,"Weiterstadt, Germany",Monday,DEU
2020-03-10,406,"Weiterstadt, Germany",Tuesday,DEU
2020-03-11,381,"Weiterstadt, Germany",Wednesday,DEU
2020-03-12,360,"Weiterstadt, Germany",Thursday,DEU
2020-03-13,133,"Weiterstadt, Germany",Friday,DEU
2020-03-16,90,"Weiterstadt, Germany",Monday,DEU
2020-03-17,13,"Weiterstadt, Germany",Tuesday,DEU
2020-03-18,9,"Weiterstadt, Germany",Wednesday,DEU
2020-03-19,10,"Weiterstadt, Germany",Thursday,DEU
2020-03-20,7,"Weiterstadt, Germany",Friday,DEU
2020-03-23,12,"Weiterstadt, Germany",Monday,DEU
2020-03-24,9,"Weiterstadt, Germany",Tuesday,DEU
2020-03-25,5,"Weiterstadt, Germany",Wednesday,DEU
2020-03-26,11,"Weiterstadt, Germany",Thursday,DEU
2020-03-27,3,"Weiterstadt, Germany",Friday,DEU
2020-03-30,2,"Weiterstadt, Germany",Monday,DEU
2020-03-31,0,"Weiterstadt, Germany",Tuesday,DEU
2020-04-01,0,"Weiterstadt, Germany",Wednesday,DEU
2020-04-02,0,"Weiterstadt, Germany",Thursday,DEU
2020-04-03,0,"Weiterstadt, Germany",Friday,DEU
2020-04-06,0,"Weiterstadt, Germany",Monday,DEU
2020-04-07,0,"Weiterstadt, Germany",Tuesday,DEU
2020-04-08,0,"Weiterstadt, Germany",Wednesday,DEU
2020-04-09,0,"Weiterstadt, Germany",Thursday,DEU
2020-04-10,0,"Weiterstadt, Germany",Friday,DEU
2020-04-13,0,"Weiterstadt, Germany",Monday,DEU
2020-04-14,0,"Weiterstadt, Germany",Tuesday,DEU
2020-04-15,0,"Weiterstadt, Germany",Wednesday,DEU
2020-04-16,0,"Weiterstadt, Germany",Thursday,DEU
2020-04-17,0,"Weiterstadt, Germany",Friday,DEU
2020-04-20,0,"Weiterstadt, Germany",Monday,DEU
2020-04-21,0,"Weiterstadt, Germany",Tuesday,DEU
2020-04-22,0,"Weiterstadt, Germany",Wednesday,DEU
2020-04-23,0,"Weiterstadt, Germany",Thursday,DEU
2020-04-24,0,"Weiterstadt, Germany",Friday,DEU
2020-04-27,0,"Weiterstadt, Germany",Monday,DEU
2020-04-28,10,"Weiterstadt, Germany",Tuesday,DEU
2020-04-29,6,"Weiterstadt, Germany",Wednesday,DEU
2020-04-30,8,"Weiterstadt, Germany",Thursday,DEU
2020-05-01,1,"Weiterstadt, Germany",Friday,DEU
2020-05-04,8,"Weiterstadt, Germany",Monday,DEU
2020-05-05,5,"Weiterstadt, Germany",Tuesday,DEU
2020-05-06,9,"Weiterstadt, Germany",Wednesday,DEU
2020-05-07,17,"Weiterstadt, Germany",Thursday,DEU
2020-05-08,14,"Weiterstadt, Germany",Friday,DEU
2020-05-11,32,"Weiterstadt, Germany",Monday,DEU
2020-05-12,19,"Weiterstadt, Germany",Tuesday,DEU
2020-05-13,26,"Weiterstadt, Germany",Wednesday,DEU
2020-05-14,35,"Weiterstadt, Germany",Thursday,DEU
2020-05-15,26,"Weiterstadt, Germany",Friday,DEU
2020-05-18,37,"Weiterstadt, Germany",Monday,DEU
2020-05-19,35,"Weiterstadt, Germany",Tuesday,DEU
2020-05-20,40,"Weiterstadt, Germany",Wednesday,DEU
2020-05-21,0,"Weiterstadt, Germany",Thursday,DEU
2020-05-22,2,"Weiterstadt, Germany",Friday,DEU
2020-05-25,52,"Weiterstadt, Germany",Monday,DEU
2020-05-26,76,"Weiterstadt, Germany",Tuesday,DEU
2020-05-27,73,"Weiterstadt, Germany",Wednesday,DEU
2020-05-28,52,"Weiterstadt, Germany",Thursday,DEU
2020-05-29,43,"Weiterstadt, Germany",Friday,DEU
2020-06-01,0,"Weiterstadt, Germany",Monday,DEU
2020-06-02,81,"Weiterstadt, Germany",Tuesday,DEU
2020-06-03,94,"Weiterstadt, Germany",Wednesday,DEU
2020-06-04,83,"Weiterstadt, Germany",Thursday,DEU
2020-06-05,54,"Weiterstadt, Germany",Friday,DEU
2020-06-08,79,"Weiterstadt, Germany",Monday,DEU
2020-06-09,117,"Weiterstadt, Germany",Tuesday,DEU
2020-06-10,87,"Weiterstadt, Germany",Wednesday,DEU
2020-06-11,0,"Weiterstadt, Germany",Thursday,DEU
2020-06-12,2,"Weiterstadt, Germany",Friday,DEU
2020-06-15,93,"Weiterstadt, Germany",Monday,DEU
2020-06-16,120,"Weiterstadt, Germany",Tuesday,DEU
2020-06-17,121,"Weiterstadt, Germany",Wednesday,DEU
2020-06-18,123,"Weiterstadt, Germany",Thursday,DEU
2020-06-19,74,"Weiterstadt, Germany",Friday,DEU
2020-06-22,96,"Weiterstadt, Germany",Monday,DEU
2020-06-23,137,"Weiterstadt, Germany",Tuesday,DEU
2020-06-24,121,"Weiterstadt, Germany",Wednesday,DEU
2020-06-25,123,"Weiterstadt, Germany",Thursday,DEU
2020-06-26,69,"Weiterstadt, Germany",Friday,DEU
2020-06-29,93,"Weiterstadt, Germany",Monday,DEU
2020-06-30,163,"Weiterstadt, Germany",Tuesday,DEU
2020-07-01,148,"Weiterstadt, Germany",Wednesday,DEU
2020-07-02,116,"Weiterstadt, Germany",Thursday,DEU
2020-07-03,76,"Weiterstadt, Germany",Friday,DEU
2020-07-06,105,"Weiterstadt, Germany",Monday,DEU
2020-07-07,139,"Weiterstadt, Germany",Tuesday,DEU
2020-07-08,138,"Weiterstadt, Germany",Wednesday,DEU
2020-07-09,55,"Weiterstadt, Germany",Thursday,DEU
2020-07-10,30,"Weiterstadt, Germany",Friday,DEU
2020-07-13,91,"Weiterstadt, Germany",Monday,DEU
2020-07-14,135,"Weiterstadt, Germany",Tuesday,DEU
2020-07-15,140,"Weiterstadt, Germany",Wednesday,DEU
2020-07-16,120,"Weiterstadt, Germany",Thursday,DEU
2020-07-17,46,"Weiterstadt, Germany",Friday,DEU
2020-07-20,81,"Weiterstadt, Germany",Monday,DEU
2020-07-21,120,"Weiterstadt, Germany",Tuesday,DEU
2020-07-22,142,"Weiterstadt, Germany",Wednesday,DEU
2020-07-23,89,"Weiterstadt, Germany",Thursday,DEU
2020-07-24,38,"Weiterstadt, Germany",Friday,DEU
2020-07-27,71,"Weiterstadt, Germany",Monday,DEU
2020-07-28,133,"Weiterstadt, Germany",Tuesday,DEU
2020-07-29,126,"Weiterstadt, Germany",Wednesday,DEU
2020-07-30,121,"Weiterstadt, Germany",Thursday,DEU
2020-07-31,46,"Weiterstadt, Germany",Friday,DEU
2020-08-03,109,"Weiterstadt, Germany",Monday,DEU
2020-08-04,136,"Weiterstadt, Germany",Tuesday,DEU
2020-08-05,134,"Weiterstadt, Germany",Wednesday,DEU
2020-08-06,115,"Weiterstadt, Germany",Thursday,DEU
2020-08-07,48,"Weiterstadt, Germany",Friday,DEU
2020-08-10,83,"Weiterstadt, Germany",Monday,DEU
2020-08-11,136,"Weiterstadt, Germany",Tuesday,DEU
2020-08-12,134,"Weiterstadt, Germany",Wednesday,DEU
2020-08-13,104,"Weiterstadt, Germany",Thursday,DEU
2020-08-14,26,"Weiterstadt, Germany",Friday,DEU
2020-08-17,115,"Weiterstadt, Germany",Monday,DEU
2020-08-18,137,"Weiterstadt, Germany",Tuesday,DEU
2020-08-19,150,"Weiterstadt, Germany",Wednesday,DEU
2020-08-20,127,"Weiterstadt, Germany",Thursday,DEU
2020-08-21,61,"Weiterstadt, Germany",Friday,DEU
2020-08-24,103,"Weiterstadt, Germany",Monday,DEU
2020-08-25,122,"Weiterstadt, Germany",Tuesday,DEU
2020-08-26,121,"Weiterstadt, Germany",Wednesday,DEU
2020-08-27,109,"Weiterstadt, Germany",Thursday,DEU
2020-08-28,64,"Weiterstadt, Germany",Friday,DEU
2020-08-31,89,"Weiterstadt, Germany",Monday,DEU
2020-09-01,127,"Weiterstadt, Germany",Tuesday,DEU
2020-09-02,126,"Weiterstadt, Germany",Wednesday,DEU
2020-09-03,119,"Weiterstadt, Germany",Thursday,DEU
2020-09-04,39,"Weiterstadt, Germany",Friday,DEU
2020-09-07,92,"Weiterstadt, Germany",Monday,DEU
2020-09-08,129,"Weiterstadt, Germany",Tuesday,DEU
2020-09-09,125,"Weiterstadt, Germany",Wednesday,DEU
2020-09-10,112,"Weiterstadt, Germany",Thursday,DEU
2020-09-11,50,"Weiterstadt, Germany",Friday,DEU
2020-09-14,82,"Weiterstadt, Germany",Monday,DEU
2020-09-15,93,"Weiterstadt, Germany",Tuesday,DEU
2020-09-16,114,"Weiterstadt, Germany",Wednesday,DEU
2020-09-17,112,"Weiterstadt, Germany",Thursday,DEU
2020-09-18,41,"Weiterstadt, Germany",Friday,DEU
2020-09-21,98,"Weiterstadt, Germany",Monday,DEU
2020-09-22,110,"Weiterstadt, Germany",Tuesday,DEU
2020-09-23,148,"Weiterstadt, Germany",Wednesday,DEU
2020-09-24,140,"Weiterstadt, Germany",Thursday,DEU
2020-09-25,35,"Weiterstadt, Germany",Friday,DEU
2020-09-28,91,"Weiterstadt, Germany",Monday,DEU
2020-09-29,128,"Weiterstadt, Germany",Tuesday,DEU
2020-09-30,0,"Weiterstadt, Germany",Wednesday,DEU
2020-02-25,1,"Shanghai, China",Tuesday,CHN
2020-02-26,0,"Shanghai, China",Wednesday,CHN
2020-02-27,0,"Shanghai, China",Thursday,CHN
2020-02-28,26,"Shanghai, China",Friday,CHN
2020-03-02,74,"Shanghai, China",Monday,CHN
